Name,Type,HasZ,HasM,CoordinateSystem,FeatureDataset,EditorTracking,CatalogPath
energy_min.sde.FORGE_Area,Polygon,change change,change,NAD_1983_UTM_Zone_12N,energy_min.sde.FORGE_Infrastructure,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@energy_min.nrwugpgressp.sde\energy_min.sde.FORGE_Area
change,OID,,,,,,
change,String,,,,,,
shape,Geometry,,,,,,
globalid,GlobalID,,,,,,
st_area(shape),Double,,,,,,
st_length(shape),Double,,,,,,
,,,,,,,
energy_min.sde.FORGE_SWCA_cleared,Polygon,Disabled,Disabled,NAD_1983_UTM_Zone_12N,energy_min.sde.FORGE_Infrastructure,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@energy_min.nrwugpgressp.sde\energy_min.sde.FORGE_SWCA_cleared
objectid_1,OID,,,,,,
objectid,Integer,,,,,,
shape_leng,Double,,,,,,
acres,Double,,,,,,
project_no,String,,,,,,
shape,Geometry,,,,,,
globalid,GlobalID,,,,,,
st_area(shape),Double,,,,,,
st_length(shape),Double,,,,,,
,,,,,,,
energy_min.sde.FORGE_wells,Point,Disabled,Disabled,NAD_1983_UTM_Zone_12N,energy_min.sde.FORGE_Infrastructure,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@energy_min.nrwugpgressp.sde\energy_min.sde.FORGE_wells
objectid,OID,,,,,,
id,Integer,,,,,,
label,String,,,,,,
type,String,,,,,,
shape,Geometry,,,,,,
globalid,GlobalID,,,,,,
,,,,,,,
energy_min.sde.Field_Office,Polygon,Disabled,Disabled,NAD_1983_UTM_Zone_12N,energy_min.sde.FORGE_Infrastructure,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@energy_min.nrwugpgressp.sde\energy_min.sde.Field_Office
objectid,OID,,,,,,
id,Integer,,,,,,
name,String,,,,,,
dimensions,String,,,,,,
class,Integer,,,,,,
shape,Geometry,,,,,,
globalid,GlobalID,,,,,,
st_area(shape),Double,,,,,,
st_length(shape),Double,,,,,,
,,,,,,,
energy_min.sde.PowerLine,Polyline,Disabled,Disabled,NAD_1983_UTM_Zone_12N,energy_min.sde.FORGE_Infrastructure,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@energy_min.nrwugpgressp.sde\energy_min.sde.PowerLine
objectid,OID,,,,,,
id,Integer,,,,,,
shape,Geometry,,,,,,
globalid,GlobalID,,,,,,
st_length(shape),Double,,,,,,
,,,,,,,
energy_min.sde.Well_Pads,Polygon,Disabled,Disabled,NAD_1983_UTM_Zone_12N,energy_min.sde.FORGE_Infrastructure,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@energy_min.nrwugpgressp.sde\energy_min.sde.Well_Pads
objectid,OID,,,,,,
id,Integer,,,,,,
name,String,,,,,,
shape,Geometry,,,,,,
globalid,GlobalID,,,,,,
st_area(shape),Double,,,,,,
st_length(shape),Double,,,,,,
,,,,,,,
energy_min.sde.Well_Track_16A_32,Polyline,Disabled,Disabled,NAD_1983_UTM_Zone_12N,energy_min.sde.FORGE_Infrastructure,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@energy_min.nrwugpgressp.sde\energy_min.sde.Well_Track_16A_32
objectid,OID,,,,,,
id,Integer,,,,,,
length,Double,,,,,,
shape,Geometry,,,,,,
globalid,GlobalID,,,,,,
st_length(shape),Double,,,,,,
,,,,,,,
energy_min.sde.Seismometers,Point,Disabled,Disabled,NAD_1983_UTM_Zone_12N,energy_min.sde.FORGE_Seismic_Data,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@energy_min.nrwugpgressp.sde\energy_min.sde.Seismometers
objectid,OID,,,,,,
name,String,,,,,,
network,String,,,,,,
shape,Geometry,,,,,,
globalid,GlobalID,,,,,,
,,,,,,,
